DJKEYX,DJBSCD,DJBUCD,DJEWNB,DJFANB,DJEXNB,DJGINA,DJJ2CD,DJKXST,DJERDT,DJEHDT,DJOVNB,DJO6CD,DJG8NA,DJMDOR,DJMDOS,DJMATI,DJMATN,DJNBHR,DJNBHS,DJGKVA,DJGLVA,DJGMVA,DJGNVA,DJJLST,DJLYTX,BOKEYX,BOACCD,BOJ1CD,BODES1,BODES2,BOJ2CD,BOCDFX,BOKACD,BOOPER,BOETAT,BOSEMC,BOKBCD,BODTCH,BODTEN,BODTRE,BODTAD,BODTRD,BODTAC,BODTAU,BOAUTO,BOREQX,BODEMD,BOA7NA,BOJ8CD,BOJ9CD,BOREFX,BOFITX,BOESTM,BODURE,BOMDOR,BOMDOS,BOMATI,BOMATN,BODOWN,BONBHR,BONBHS,BOHREM,BOFACT,BOJ7CD,BOLCH1,BOLCH2,BOLCH3,BOLCH4,BOCH1X,BOCH2X,BOCH3X,BOCH4X,BOIMPR,BOKEY1,BOKEY2,BOMFTX,BOM9CD,BONINB,BOGKVA,BOGLVA,BOGMVA,BOGNVA,BODHTX,CRTDAT,CRTYR,CRTMTH,CRTWK,CLSDAT,CLSMTH,CLSWK,DUEDAT,DUEYR,DUEMTH,DUEWK,REM_TIME,CNT,REMARK,CRTPER,CLSYR,CLSPER,DUEPER,TYPECAT,TYPECAT2,prevYN,shutYN,corrYN,modYN,runYN,DIV,UL,DESC_UL,FNCT,DESC_FNCT,DESC_EQ,CRIT,COND,DESC_TACHE,FREQ,T_EST,ATE,MET,EQUIPE,PRIO_BT,Ordre,ETAT_TRV,GRP,S_GRP,DUREE,MESURE,CLD,TYPE BT CLD,IND.TRV,ANNEE.DEBUT,ANNEE.FIN,FREQ.CLD,SEM.DEBUT,DERN.ENTR.CLD,CMPT,TYPE BT CMPT,TYPE CMPT,LAST CMPT,FRQ CMPT,ANTICIP CMPT,DATE LAST BT,CLND,ATE-MET,YEAR,WEEKNO,MONTH,EST_TIME
1637542,SMAGA,MAGA,0.5,0,1,N/A,1,6,1161107,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1637542,BAT0253,SVER093,INSPECTION ANNUELLE DES TREUIL DE SAUVETAGE PAR SOLUS,INSPECTION ANNUELLE DES TREUIL DE SAUVETAGE PAR SOLUS,1,N/A,P,PR,2,45,N/A,1161018,1161018,1161111,1161107,0,0,1161018,MLAMO038,N/A,N/A,Fréquence annuelle standard: 1.00,N/A,N/A,NORMAND DÉNOMÉE,N/A,0.5,ISST,0,0,0,0,0,0,0,1646,N,ILIC1,IBRIG101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,161,101,B000790249,N/A,0,0,0,0,0,N/A,2016-10-18,2016,10,42,N/A,N/A,N/A,2016-11-07,2016,11,45,0.5,1,Fréquence annuelle standard: 1.00,2016-10,N/A,NA-NA,2016-10,N/A,Pr�ventif,TRUE,FALSE,FALSE,FALSE,TRUE,161,ILIC1,"TISSU, MACHINE #1",IBRIG101,FOURNITURE BRIGADE(SEULEMENT),POTENCE ESPACE CLOS SST  GROUPE TISSU,A,U,INSPECTION ANNUELLE DES TREUIL DE SAUVETAGE PAR SOLUS,Fréquence annuelle standard: 1.00,0.5,SMAGA,MAGA,1,1,1,N/A,ILEV,ILEVPOTENC,ISST,N/A,O,P,F,2016,N/A,N/A,N/A,272016,N,N/A,N/A,N/A,N/A,N/A,N/A,X                                                    X,SMAGAMAGA,2017,45,11,0.5
1637551,SMAGA,MAGA,2,0,1,N/A,1,6,1161107,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1637551,BAT0758,SVER093,INSPECTION ANNUELLE DES TREUIL DE SAUVETAGE PAR SOLUS,INSPECTION ANNUELLE DES TREUIL DE SAUVETAGE PAR SOLUS,1,N/A,P,PR,2,45,N/A,1161018,1161018,1161111,1161107,0,0,1161018,MLAMO038,N/A,N/A,Fréquence annuelle standard: 1.00,N/A,N/A,NORMAND DÉNOMÉE,N/A,2,N/A,0,0,0,0,0,0,0,1646,N,DGEN,DBATI102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,101,101,B000790258,N/A,0,0,0,0,0,N/A,2016-10-18,2016,10,42,N/A,N/A,N/A,2016-11-07,2016,11,45,2,1,Fréquence annuelle standard: 1.00,2016-10,N/A,NA-NA,2016-10,N/A,Pr�ventif,TRUE,FALSE,FALSE,FALSE,TRUE,101,DGEN,"NORAMPAC DIV KFALLS, GENERALE",DBATI102,SUPPORT POUR TREUIL ESPACE CLOS,TREUIL DE SAUVETAGE ESPACE CLOS NORAMPAC,D,U,INSPECTION ANNUELLE DES TREUIL DE SAUVETAGE PAR SOLUS,Fréquence annuelle standard: 1.00,2,SMAGA,MAGA,1,1,99,N/A,N/A,N/A,N/A,N/A,O,P,F,2014,N/A,N/A,N/A,112015,N,N/A,N/A,N/A,N/A,N/A,N/A,X                                                    X,SMAGAMAGA,2017,45,11,2
1637552,SMAGA,MAGA,0.5,0,1,N/A,1,6,1161107,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1637552,BAT0789,SVER093,INSPECTION ANNUELLE DES TREUILS DE SAUVETAGE PAR SOLUS,INSPECTION ANNUELLE DES TREUILS DE SAUVETAGE PAR SOLUS,1,N/A,P,PR,2,45,N/A,1161018,1161018,1161111,1161107,0,0,1161018,MLAMO038,N/A,N/A,Fréquence annuelle standard: 1.00,N/A,N/A,NORMAND DÉNOMÉE,N/A,0.5,ISST,0,0,0,0,0,0,0,1646,N,DGEN,DBATI090,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,101,101,B000790259,N/A,0,0,0,0,0,N/A,2016-10-18,2016,10,42,N/A,N/A,N/A,2016-11-07,2016,11,45,0.5,1,Fréquence annuelle standard: 1.00,2016-10,N/A,NA-NA,2016-10,N/A,Pr�ventif,TRUE,FALSE,FALSE,FALSE,TRUE,101,DGEN,"NORAMPAC DIV KFALLS, GENERALE",DBATI090,SUPPORT TREUIL ESPACE CLOS RESERV. ENCOLLAGE,SUPPORT TREUIL RESERVOIR ENCOLLAGE SAUVETAGE ESPACE CLOS,B,U,INSPECTION ANNUELLE DES TREUILS DE SAUVETAGE PAR SOLUS,Fréquence annuelle standard: 1.00,0.5,SMAGA,MAGA,1,1,2,N/A,N/A,N/A,ISST,N/A,O,P,F,2014,N/A,N/A,N/A,272016,N,N/A,N/A,N/A,N/A,N/A,N/A,X                                                    X,SMAGAMAGA,2017,45,11,0.5
1637559,SMAGA,MAGA,4,0,1,N/A,1,6,1161107,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1637559,BAT1257,SVER093,INSPECTION ANNUELLE DES TREUILS DE SAUVETAGE PAR SOLUS,INSPECTION ANNUELLE DES TREUILS DE SAUVETAGE PAR SOLUS,1,N/A,P,PR,2,45,N/A,1161018,1161018,1161111,1161107,0,0,1161018,MLAMO038,N/A,N/A,Fréquence annuelle standard: 1.00,N/A,N/A,NORMAND DÉNOMÉE,N/A,4,ISST,0,0,0,0,0,0,0,1647,N,TUSINE,TBATI100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,118,101,B000790266,N/A,0,0,0,0,0,N/A,2016-10-18,2016,10,42,N/A,N/A,N/A,2016-11-07,2016,11,45,4,1,Fréquence annuelle standard: 1.00,2016-10,N/A,NA-NA,2016-10,N/A,Pr�ventif,TRUE,FALSE,FALSE,FALSE,TRUE,118,TUSINE,USINE TRAITEMENT DES EAUX,TBATI100,BATISSE GENERALE,TREUIL DE SAUVETAGE ESPACE CLOS TRAIT.EAUX,C,U,INSPECTION ANNUELLE DES TREUILS DE SAUVETAGE PAR SOLUS,Fréquence annuelle standard: 1.00,4,SMAGA,MAGA,1,1,5,N/A,N/A,N/A,ISST,N/A,O,P,F,2014,N/A,N/A,N/A,272016,N,N/A,N/A,N/A,N/A,N/A,N/A,X                                                    X,SMAGAMAGA,2017,45,11,4
1637778,SMAGA,MAGA,3,0,1,N/A,1,6,1161107,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1637778,PAL0021,SVER093,INSPECTION ANNUELLE DES TREUIL DE SAUVETAGE PAR SOLUS,INSPECTION ANNUELLE DES TREUIL DE SAUVETAGE PAR SOLUS,1,N/A,P,PR,2,45,N/A,1161018,1161018,1161111,1161107,0,0,1161018,MLAMO038,N/A,N/A,Fréquence annuelle standard: 1.00,N/A,N/A,NORMAND DÉNOMÉE,N/A,3,N/A,0,0,0,0,0,0,0,1647,N,SMAGA,SBATI004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,132,405,B000790485,N/A,0,0,0,0,0,N/A,2016-10-18,2016,10,42,N/A,N/A,N/A,2016-11-07,2016,11,45,3,1,Fréquence annuelle standard: 1.00,2016-10,N/A,NA-NA,2016-10,N/A,Pr�ventif,TRUE,FALSE,FALSE,FALSE,TRUE,132,SMAGA,MAGASIN SERVICES & ACHATS,SBATI004,PALAN MAGASIN (CSA),TREUIL DE SAUVETAGE ESPACE CLOS  CSA ( # 327 ),A,U,INSPECTION ANNUELLE DES TREUIL DE SAUVETAGE PAR SOLUS,Fréquence annuelle standard: 1.00,3,SMAGA,MAGA,1,1,1,N/A,N/A,N/A,N/A,N/A,O,P,F,2014,N/A,N/A,N/A,272016,N,N/A,N/A,N/A,N/A,N/A,N/A,X                                                    X,SMAGAMAGA,2017,45,11,3
1638290,SMAGA,MAGA,1,0,1,N/A,1,6,1161114,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1638290,BAT1351,SINS038A,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,1,N/A,P,PR,2,46,N/A,1161024,1161024,1161118,1161114,0,0,1161024,MLAMO038,N/A,N/A,Fréquence annuelle standard: 26,N/A,N/A,NORMAND DÉNOMMÉE,N/A,1,N/A,0,0,0,0,0,0,0,739,N,SMAGA,SBATI122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,115,ENT,B000791030,N/A,0,0,0,0,0,N/A,2016-10-24,2016,10,43,N/A,N/A,N/A,2016-11-14,2016,11,46,1,1,Fréquence annuelle standard: 26,2016-10,N/A,NA-NA,2016-10,N/A,Pr�ventif,TRUE,FALSE,FALSE,FALSE,TRUE,115,SMAGA,MAGASIN SERVICES & ACHATS,SBATI122,ENTREPÔT DE SERVICES ET ACHATS,ENTREPÔT DE SERVICES ET ACHATS,D,U,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,Fréquence annuelle standard: 26,1,SMAGA,MAGA,1,1,99,N/A,N/A,N/A,N/A,N/A,O,P,S,2014,2999,002,02,202017,N,N/A,N/A,N/A,N/A,N/A,N/A,X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X,SMAGAMAGA,2017,2,1,1
1638290,SMAGA,MAGA,1,0,1,N/A,1,6,1161114,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1638290,BAT1351,SINS038A,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,1,N/A,P,PR,2,46,N/A,1161024,1161024,1161118,1161114,0,0,1161024,MLAMO038,N/A,N/A,Fréquence annuelle standard: 26,N/A,N/A,NORMAND DÉNOMMÉE,N/A,1,N/A,0,0,0,0,0,0,0,739,N,SMAGA,SBATI122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,115,ENT,B000791030,N/A,0,0,0,0,0,N/A,2016-10-24,2016,10,43,N/A,N/A,N/A,2016-11-14,2016,11,46,1,1,Fréquence annuelle standard: 26,2016-10,N/A,NA-NA,2016-10,N/A,Pr�ventif,TRUE,FALSE,FALSE,FALSE,TRUE,115,SMAGA,MAGASIN SERVICES & ACHATS,SBATI122,ENTREPÔT DE SERVICES ET ACHATS,ENTREPÔT DE SERVICES ET ACHATS,D,U,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,Fréquence annuelle standard: 26,1,SMAGA,MAGA,1,1,99,N/A,N/A,N/A,N/A,N/A,O,P,S,2014,2999,002,02,202017,N,N/A,N/A,N/A,N/A,N/A,N/A,X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X,SMAGAMAGA,2017,4,1,1
1638290,SMAGA,MAGA,1,0,1,N/A,1,6,1161114,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1638290,BAT1351,SINS038A,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,1,N/A,P,PR,2,46,N/A,1161024,1161024,1161118,1161114,0,0,1161024,MLAMO038,N/A,N/A,Fréquence annuelle standard: 26,N/A,N/A,NORMAND DÉNOMMÉE,N/A,1,N/A,0,0,0,0,0,0,0,739,N,SMAGA,SBATI122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,115,ENT,B000791030,N/A,0,0,0,0,0,N/A,2016-10-24,2016,10,43,N/A,N/A,N/A,2016-11-14,2016,11,46,1,1,Fréquence annuelle standard: 26,2016-10,N/A,NA-NA,2016-10,N/A,Pr�ventif,TRUE,FALSE,FALSE,FALSE,TRUE,115,SMAGA,MAGASIN SERVICES & ACHATS,SBATI122,ENTREPÔT DE SERVICES ET ACHATS,ENTREPÔT DE SERVICES ET ACHATS,D,U,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,Fréquence annuelle standard: 26,1,SMAGA,MAGA,1,1,99,N/A,N/A,N/A,N/A,N/A,O,P,S,2014,2999,002,02,202017,N,N/A,N/A,N/A,N/A,N/A,N/A,X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X,SMAGAMAGA,2017,6,2,1
1638290,SMAGA,MAGA,1,0,1,N/A,1,6,1161114,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1638290,BAT1351,SINS038A,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,1,N/A,P,PR,2,46,N/A,1161024,1161024,1161118,1161114,0,0,1161024,MLAMO038,N/A,N/A,Fréquence annuelle standard: 26,N/A,N/A,NORMAND DÉNOMMÉE,N/A,1,N/A,0,0,0,0,0,0,0,739,N,SMAGA,SBATI122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,115,ENT,B000791030,N/A,0,0,0,0,0,N/A,2016-10-24,2016,10,43,N/A,N/A,N/A,2016-11-14,2016,11,46,1,1,Fréquence annuelle standard: 26,2016-10,N/A,NA-NA,2016-10,N/A,Pr�ventif,TRUE,FALSE,FALSE,FALSE,TRUE,115,SMAGA,MAGASIN SERVICES & ACHATS,SBATI122,ENTREPÔT DE SERVICES ET ACHATS,ENTREPÔT DE SERVICES ET ACHATS,D,U,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,Fréquence annuelle standard: 26,1,SMAGA,MAGA,1,1,99,N/A,N/A,N/A,N/A,N/A,O,P,S,2014,2999,002,02,202017,N,N/A,N/A,N/A,N/A,N/A,N/A,X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X,SMAGAMAGA,2017,8,2,1
1638290,SMAGA,MAGA,1,0,1,N/A,1,6,1161114,0,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1638290,BAT1351,SINS038A,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,1,N/A,P,PR,2,46,N/A,1161024,1161024,1161118,1161114,0,0,1161024,MLAMO038,N/A,N/A,Fréquence annuelle standard: 26,N/A,N/A,NORMAND DÉNOMMÉE,N/A,1,N/A,0,0,0,0,0,0,0,739,N,SMAGA,SBATI122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,115,ENT,B000791030,N/A,0,0,0,0,0,N/A,2016-10-24,2016,10,43,N/A,N/A,N/A,2016-11-14,2016,11,46,1,1,Fréquence annuelle standard: 26,2016-10,N/A,NA-NA,2016-10,N/A,Pr�ventif,TRUE,FALSE,FALSE,FALSE,TRUE,115,SMAGA,MAGASIN SERVICES & ACHATS,SBATI122,ENTREPÔT DE SERVICES ET ACHATS,ENTREPÔT DE SERVICES ET ACHATS,D,U,INSPECTION GENERAL DE L'ENTREPOT DE CSA         * DOC *,Fréquence annuelle standard: 26,1,SMAGA,MAGA,1,1,99,N/A,N/A,N/A,N/A,N/A,O,P,S,2014,2999,002,02,202017,N,N/A,N/A,N/A,N/A,N/A,N/A,X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X,SMAGAMAGA,2017,10,3,1
